Headline,Content,Date
Electric bus in varanasi  वाराणसी में इलेक्ट्रिक बस तैयार चार्जिंग प्वाइंट का हो रहा है इंतजार,वाराणसी जेएनएन बढ़ते प्रदूषण शहर इलेक्ट्रिक बस चलाने योजना अधिकारियों लापरवाही चलते सकी ग्रामीण जमीन इलेक्ट्रिक बस चार्जिंग प्वाइंट बनाने विरोध जिला प्रशासन हस्तक्षेप ग्रामीण मांगों अड़े जबकि इलेक्ट्रिक बस बनाने वाली कंपनी लगातार परिवहन निगम बसों लेने दबाव बना शहर बढ़ते प्रदूषण कम शासन शहर इलेक्ट्रिक बसें चलाने योजना बनाई चरण बनारस बसें मिलनी इलेक्ट्रिक बस बनाने वाली कंपनी पिछले माह बार क्षेत्रीय प्रबंधक संपर्क बस देने बात चार्जिंग प्वाइंट स्थल मिर्जामुराद मौके काम बस बनाने वाली कंपनी नाराजगी जाहिर कंपनी दिसंबर बस देने बात कही परिवहन निगम बसों चार्जिंग प्वाइंट तैयार हवाला लेने इनकार उधर ग्रामीणों चार्जिंग प्वाइंट स्थल तालाब जमीन गांव लोगों घरों गंदा पानी जाता चार्जिंग प्वाइंट बन लोगों घरों गंदा पानी कहां जिला प्रशासन चार्जिंग प्वाइंट बनाने घरों निकलने गंदा पानी व्यवस्था बनाएं इसको पिछले दिनों ग्रामीणों प्रदर्शन बारे क्षेत्रीय प्रबंधक एसके राय ग्रामीणों विरोध चलते चार्जिंग प्वाइंट बनाने थोड़ी दिक्कत जिला प्रशासन सहयोग पिछले दिनों जमीन पैमाइश कार्यदायी संस्था तेजी काम जल्द जल्द शहर इलेक्ट्रिक बसों संचालन सके बात मुख्यालय अवगत,2021-01-16
मीरजापुर में वाराणसी के दो युवकों की जलाकर हत्‍या हाथ पर लिखी इबारत ने की शव की शिनाख्‍त,मीरजापुर जेएनएन दिन पूर्व घाटी मिले दोनो शवों आखिरकार शिनाख्त परिजनों शिनाख् त टॉप टेन अपराधी दूसरा छात्र तौर पहचान दरअसल जले शव शव दाहिने हाथ आयुषी शव कलाई ओम लिखा शब् द हत्यारे मिटा सके अज्ञात शव मिलने जानकारी मृतक बड़ी बहन हाथ पैर उंगलियों भाई शव रूप शिनाख्त हत्यारा चाहे शातिर सुराग छोड़ देता वाराणसी युवकों हत्या शव पहचान छिपाने जला शव आधा ज्यादा भाग जल युवक हाथोंं निशानी बना रखी मिटा सके पहचान ली शव पहचान बड़ी बहन प्रतिमा पांडे हाथ कलाई आयुषी लिखा शव शिनाख्त वाराणसी टॉप टेन अपराधी शुभम केसरी रूप पुलिस महकमे खलबली मच बीकाम छात्र टॉप टेन अपराधी अधजला शव हत्या गुत्थी उलझ शनिवार सुबह वाराणसी महमूरगंज निवासिनी प्रतिमा पांडे अहरौरा थाने शुक्रवार छातों गांव मिले अज्ञात शव बात कहने लगी पुलिस महिला चुनार स्थित चीर जहा दोनो शव निकाल महिला दिखाया शव हाथ कलाई पास आयुषी नाम चिंघाड़ मार रोना कहने लगी भाई आखिर कैसे तुम्हारी मौत विश्वास भाई ज्यादा मानता दुलारा हत्या शव छातों गांव स्थित पहाड़ खाई जलाकर फेंक प्रतिमा पांडे पिता अशोक पांडे निवासी महमूरगंज वाराणसी तीन संतानों बड़ी पुत्री प्रिया पांडे छोटा भाई रवि पांडे बीते बाईस दिसंबर शाम उसका भाई रवि पांडे दोस्त मिलने चला रात लौटा भेलूपुर थाने गुमशुदगी रिपोर्ट दर्ज कराई वहींं वाराणसी टॉप टेन अपराधी शुमार शुभम केसरी शव शिनाख्त हाथ गुदे ओम नाम पहचान शुभम केसरी पुत्र रमाशंकर केसरी निवासी चौक थाना बनारस शातिर अपराधियों गिना जाता छात्र दूसरा शातिर टॉप टेन बदमाश शव मिलने पुलिस मामले खुलासे जुट शनिवार रवि शुभम केसरी शव शिनाख्त स्वजनों रोकर बुरा हाल,2021-01-16
23 साल से चंदौली का राजस्व अभिलेख वाराणसी में अभिलेखागार घोषित हो चुका है निष्प्रयोज्य,वाराणसी जेएनएन सरकारी कार्यालय हद अपडेट बच्चों वजीफा लगायत कर्मचारियों पगार आनलाइन खाते किंतु भागमभाग रेस पीछे छूट शामिल सरकारी दस्तावेजों रखरखाव लापरवाही बल्कि विवशता नाम वाराणसी अलग चंदौली जनपद भू राजस्व दस्तावेज सका कारण जिले अभिलेखागार पिछले साल अधिकारी पब्लिक दस्तावेज चंदौली वाराणसी आना पड़ता मजे बात वाराणसी अभिलेखागार वाराणसी चंदौली राजस्व दस्तावेज सुरक्षित रखे उक्त भवन निष्प्रयोज्य घोषित अभिलेखागार जीर्णशीर्ण अवस्था बरसात छत पानी टपकता दीवार सीड़न चूहा कीड़ों वजह दस्तावेज खराब क्रम पिछले साल चंदौली जिला प्रशासन पत्र लिख दस्तावेज जाएं जवाब फसली अभिलेख मुआयना बंद निष्प्रयोज्य अभिलेखागार फसली रिकार्ड स्थिति खराब जिला प्रशासन दस्तावेज मुआयना रोक लगा दस्तावेज एडीएम फोन बात एडीएम प्रशासन रणविजय सिंह हाल अभिलेखागार निरीक्षण बहुतायत कमियों पाईं दस्तावेज चंदौली एडीएम वित्त राजस्व फोन बात चंदौली अफसर आश्वासन शीघ्र दस्तावेज मंगा जाएंगे चंदौली अभिलेखागार अंडर कंस्ट्रक्शन माह निर्माण निर्माण वाराणसी राजस्व अभिलेख मंगा जाएंगे अभिलेखागार कारण मंगाना संभव निश्चित इससे पब्लिक अफसरों परेशानी अतुल कुमार एडीएम वित्त राजस्व चंदौली,2021-01-16
कांग्रेस प्रदेश अध्यक्ष अजय कुमार लल्लू पहुंंचे वाराणसी देर शाम कुरुक्षेत्र तालाब के पास होगा संवाद,वाराणसी जेएनएन उत्तर प्रदेश कांग्रेस कमेटी प्रदेश अध्यक्ष अजय कुमार लल्लू शनिवार शाम वाराणसी अस्सी घाट स्थित कुरुक्षेत्र तालाब पास संवाद इससे पूर्व दोपहर बजे बड़ागांव ब्लॉक बसनी चौराहे कार्यकर्ताओं स्वागत चंदौली रवाना दौरान सेवादल प्रदेश अध्यक्ष प्रमोद पांडेय प्रदेश महासचिव विश्व विजय सिंह प्रदेश सचिव प्रभारी इमरान खान जिलाध्यक्ष राजेश्वर सिंह पटेल डॉ जितेंद्र सेठ प्रकाश सिंह राजीव कुमार गौतम आनंद सिंह रिंकु राजीव कुमार मन्ना राजभर राकेश सिंह ओम प्रकाश ओझा विनोद सिंह कल्लू मनोज द्विवेदी रामाश्रय पटेल अश्वनी कुमार सिंह अजय कुमार सिंह बबलू बिन्द चक्रवर्ती पटेल पार्टी पदाधिकारियों अनुसार चंदौली लौटने युवाओं संवाद वाराणसी रात्रि प्रवास रविवार सुबह आराजीलाइन ब्लॉक कुरौना गांव जाएंगे संगठन सृजन कार्यक्रम बैठक लेंगे दोपहर बजे वापस लखनऊ रवाना जाएंगे,2021-01-16
फिल्मों में काम दिलाने के बहाने युवती को ले भागा बड़ी बहन तलाश में खा रही दरदर की ठोकर,वाराणसी जेएनएन मुंबई बॉलीवुड फिल्मों काम दिलाने बहाने युवती भगाने मामला सामने आया युवती बड़ी बहन सम्बन्ध कप्तान अमित पाठक शिकायत पीडिता प्रार्थना पत्र संज्ञान लेते हुवे कप्तान अमित पाठक अधीनस्थोंं सम्बन्धित आदेश जारी घटना सम्बन्ध अमेठी गांंव वाली बड़ी बहन छोटी बहन फिल्मोंं काफी रूचि रखती अख़बार छोटा सा विज्ञापन फिल्मोंं काम दीपक कुमार केशरी सम्पर्क आई दीपक उससे फोन फोटो मंगवा उसको फिल्मोंं काम दिलवाने लालच पीडिता बड़ी बहन अनुसार छोटी बहन फिल्मोंं काम सपना सच मना परिजनों दुश्मन समझने लगी दीपक बार बार उसको वाराणसी आकर मिलने फिल्मोंं काम प्रोत्साहित परिजन आखिर बेटी दबाव टूटे बड़ी बहन छोटी बेटी वर्ष बनारस अनुमति दोनों बहनेंं दिसंबर वाराणसी आईं यहांं दीपक कुमार केशरी उनसे दीपक कोतवाली थाना अंतर्गत मैदागिन पास स्थित होटल लाया जहांं तीनोंं रात रूक गईं पीड़ित बड़ी बहन अनुसार सुबह सोकर उठी बहन कमरे उसका बैग पीडिता अनुसार होटल वालोंं पूछा पता चला दीपक नाम युवक बहन सुबह निकल कही चली युवती फोन आफ बताने लगा परेशान हाल पीडिता क्षमता अनुसार उसको दिनों तलाश बहन खोज खबर नही चली पीड़ित हिना अनुसार थक अमेठी वापस चली दौरान उसको बहन फोन आया परेशान बातचीत सिर्फ इतना दीपक सब ज्वेलरी ली बड़ी बहन अनुसार पिछले जनवरी कोतवाली थाने चक्कर लगा शिकायत दर्ज पुलिस बहन तलाशने मदद करे पुलिस शिकायत दर्ज नही आखिर एसएसपी वाराणसी कार्यालय शिकायत सम्बन्ध क्षेत्राधिकारी कोतवाली प्रवीण सिंह बात मामला संज्ञान आया प्रकरण जांंच करवाई,2021-01-16
वाराणसी जिले में लगी कोरोना वैक्‍सीन की पहली डोज आधे घंटे तक निगरानी में रखे गए लोग,वाराणसी जेएनएन साल भर इंतजार कोरोना वैक् सीन वाराणसी पहुंचने लोगों वैक् सीन लगनी वाराणसी जिले जिला महिला अस्पतालकबीरचौरा आइएमएसबीएचयू पंडित दीनदयाल उपाध्याय राजकीय चिकित्सालय हेरिटेज मेडिकल कालेज सीएचसी काशी विद्यापीठ सीएचसी सेवापुरी चयनित लोगों लगाई सीएमएस डॉ वी शुक्ला दीनदयाल अस्पताल पांडेयपुर कोरोना टीका लगवाया महिला अस्पताल टीकाकरण सूची पहला नंबर अजीत कुमार मिश्रा अजीत महिला अस्पताल एसएनसीयू डीईओ पद तैनात कोविन एप आनलाइन जानकारी दर्ज टीकाकरण रिकार्ड कार्ड जानकारी दर्ज इससे पूर्व महिला अस्पताल कोल्ड चेन पॉइंट इंचार्ज डॉ बिंदु देवी सुरक्षा टीकाकरण केंद्र वैक्सीन पहुंचीं वैक्सिनेटर रानी कुमारी सहायक दीपा श्रीवास्तव डब् ल् यूएचओ प्रतिनिधि हिदायत सीएचसी मिसिरपुर काशी विद्यापीठ वैक्सीन कक्ष टीकाकरण मौजूद एएनएम पूनम राना तैयारियां परखीं सीएचसी मिसिरपुर काशी विद्यापीठ टीकाकरण लाभार्थियों बने एईएफआइ मैनेजमेंट रूम आब्जर्वेशन रूम तैयारियां अंतिम रूप परखी गईं बीएचयू स्थित सर सुंदर लाल अस्पताल डॉक्टर लॉन्ज मीडिया रोक सीएचसी मिसिरपुर काशी विद्यापीठ स्टैटिक मजिस्ट्रेट मणि मोहन ओझा नोडल अधिकारी डा नवीन सिंह लेतैयारियों जानकारी ली हाथी स् वास् थ् य केंद्र सुबह आठ बजे वैक्सीन बाबत डॉक्टर यतीश पाठक तैयारी जानकारी सीएचसी हाथीपुर सेवापुरी ब्लॉक डेवलपमेंट ऑफिसर सुधाकर सिंह सुरक्षा जायजा लोगोंं वैक् सीन टीका लगना जिलाधिकारी वाराणसी उनसे बात रखी सेहत निगरानी पं दीनदयाल उपाध् याय डॉक्टरों वैक्सीन दिन बुखार दर्द समस्या सकती हालांकि इससे घबराने जरूरत मरीज घबराहट बेचैनी होस्पिटलाइज आवश्यकता फिलहाल कोरोना टीका लोगों मिनट निगरानी रखा भेज हालांकि भेजे सेहत निगरानी,2021-01-16
वाराणसी में कोरोना वैक्सीन की एक डोज लगने से पहले ही टूटी सुरक्षा तैयारियों की खुली पोल,वाराणसी जेएनएन विश् सौ अधिक देश वैक् सीन इंतजार भारत खुश नसीब देशों शामिल वैक् सीन नसीब वैक् सीन कीमत समझते नजारा वाराणसी जिले कोरोना वैक् सीन लगने दिन सामने वैसे कोविड कोरोना वैक्सीन वाराणसी छह सेंटरों शनिवार लगाया जाना दरअसल कोरोना वैक् सीन डोज दरअसल वाराणसी रखरखाव दौरान लापरवाही बरतने टूट हालां उपलब् ध टीकों सापेक्ष लोगों कम फर्क टीकाकरण पड़ा दरअसल हेरिटेज मेडिकल कालेज वैक्सीन निकाल महिला स्टाफ नर्स ममता कोरोना वैक् सीन डोल घबराहट गिरकर टूट वैक्सीन निकाल महिला कर्मचारी हेरिटेज मेडिकल कालेज भदवर सुबह आठ बजे नोडल अधिकारी डॉ अमित सिंह ड्यूटी कंट्रोलर नीरज मिश्रा पहुंचकर तैयारी जुटी सुबह नौ बजे सिपाहियों वैक्सीन कर्मचारी परिसर कोरोना वैक् सीन अकुलाहट बीच रखरखाव तैयारियों समय अपशकुन छा हाथ फ िसलकर कोरोना वैक् सीन शीशी टूट कांच शीशी टूटने हिस् सा अलग डोज बहकर गिर दौरान वैक् सीन निकालते समय घबराहट हेरिटेज महिला कर्मचारी ममता सिंह वैक्सीन निकालते समय शीशी टूट नोडल अधिकारी डॉ अमित कुमार टीका लगने लिस्ट पोर्टल मिलाकर आइडी अनुसार प्रवेश टीका ऑब्जर्वेशन रूम आधे घंटे आराम निगरानी छोड़ा दौरान समस्या विशेष कक्ष एड्रीनील नामक इंजेक्शन हेरिटेज कालेज पहली लिस्ट कालेज शिक्षकों स्टाफ लोगों हालांकि इनमें मात्र लोगों वैक्सीन लगाया क् योंकि दस कालेज छोड़कर चुके वाराणसी जिले कोरोना वायरस ट्रायल रन सरकारी कर्मचारियों ट्रेंनिग टीकाकरण अस्पताल निजी कर्मी लगाए ट्रायल वैक्सिनेशन दिन सरकारी कर्मचारियों ट्रेनिंग टीकाकरण हेरिटेज निजी कर्मियों लगाया घबराहट समस्या बारे नोडल अधिकारी डॉ अमित कुमार दिन कर्मचारियों ट्रेनिंंग,2021-01-16
वाराणसी के सांसद नरेंद्र मोदी ने दुनिया के सबसे बड़े कोविड19 वैक्सीनेशन कार्यक्रम का किया शुभारंभ,वाराणसी जेएनएन दुनिया बड़े कोविड टीकाकरण अभियान तहत शुक्रवार भारत कोविड बचाव हेतु वैक्सीनेशन कार्यक्रम वाराणसी सांंसद प्रधानमंत्री नरेंद्र मोदी वीडियो कांफ्रेंसिंग शुरुआत शुभारंभ अवसर वीडियो कांफ्रेंसिंग माध्यम वर्चुअल संवाद प्रधानमंत्री नरेंद्र मोदी कम समय कोरोना वैक्सीन भारत आज दुनिया बड़ा कोरोना टीकाकरण अभियान विशेष रूप जोर वैक्सीन बनाने वर्षों लग जाते इतना कम समय मेड इंडिया दोदो वैक्सीन बना भारत वैज्ञानिक दक्षता टैलेंट उदाहरण कवि कथन उद्धृत मानव जोर लगाता पत्थर पानी बन जाता प्रधानमंत्री स्वास्थ्य सेवा लोगों पहला हक वैक्सीन जिन्होंने संकट घड़ी बढ़कर बढ़चढ़कर लोगों सहायता वैक्सीन लगेगा चरण सुरक्षा कर्मियों फ्रंटलाइन वर्करों कोरोना वैक्सीन लगाया इनकी संख्या लगभग तीन करोड जिनका खर्च भारत सरकार उठाएगी कोरोना वैक्सीन लगाए दौरान रजिस्ट्रेशन ट्रैकिंग व्यवस्था कोरोना वैक्सीन डोज लगना जरूरी दोनों डोज बीच माह अंतराल जरूरी इसलिए कोरोना संक्रमण बचाव मास्क सोशल डिस्टेंसिंग पालन सैनिटाइज जैसी एहतियाती कार्य प्रकार ढिलाई होनी इतिहास इतना बड़ा टीका अभियान इससे कभी चला कोरोना वैक्सीनेशन चरण करोड़ संख्या जाया जाना प्रोपगंडा अफवाह आशंका सचेत रहें प्रधानमंत्री देश बच्चों लगने टीका भारत बनता भारतीय वैक्सीन विदेशी वैक्सीन तुलना काफी सस्ता आत्मविश्वास आत्मनिर्भर कोरोना लड़ाई जिलाधिकारी कौशल राज शर्मा देखरेख वाराणसी कोरोना वैक्सिनेशन कार्यक्रम शुरुआत वाराणसी चार शहरी ग्रामीण सहित छह स्थानों सेंटर बनाया प्रत्येक केंद्र सौसौ सहित लोगों वैक्सीन लगाया कोरोना कॉल अधिक रिस्क मेहनत कोविड मरीजों सेवा काम स्वास्थ्य कर्मियों टीका लगाया जिलाधिकारी राजकीय महिला चिकित्सालय कबीरचौरा पंडित दीनदयाल उपाध्याय राजकीय चिकित्सालय दौरा कार्यक्रम मानिटरिंग स्वयं राजकीय महिला चिकित्सालय कबीरचौरा देखरेख कोरोना वैक्सिनेशन कार्यक्रम विधिवत शुरुआत करायी जहांं कोरोना वैक्सीन पहला टीका हेल्थ वर्कर रूप श्री शिवप्रसाद गुप्त मंडलीय चिकित्सालय डाटा इंट्री ऑपरेटर अजित कुमार मिश्रा लगाया महिला राजकीय चिकित्सालय कबीरचौरा कोरोना वैक्सिनेशन कार्यक्रम पूरे उल्लास शुरुआत अवसर वैक्सीनेशन वार्ड फूल पत्ती गुब्बारों सजाया कोरोना वैक्सिनेशन लोगों उत्साह देखी काफी उत्साहित दिख राजकीय महिला चिकित्सालय वैक्सीनेशन हाल परिसर लगे बड़े एलइडी स्क्रीन प्रधानमंत्री वीडियो कॉन्फ्रेंसिंग किए कोरोना वैक्सीनेशन शुभारंभ कार्यक्रम सीधा प्रसारण प्रधानमंत्री संबोधन सुना शनिवार दुनिया बड़े कोविड वैक्सीनेशन कार्यक्रम प्रचार प्रसार वैक्सिन प्रति जन जागरण हेतु सूचना विभाग शहर केंट नदेसर मंडुवाडीह काशी स्टेशन कबीरचौरा सहित छह स्थानों एलईडी बैंन माध्यम प्रधानमंत्री कार्यक्रम लाइव प्रसारण दिखाया अवसर मुख्य चिकित्सा अधिकारी डॉक्टर बीवी सिंह सहित स्वास्थ्य विभाग अधिकारी कर्मचारी प्रमुख रूप उपस्थित,2021-01-16
काशी केवड़िया एक्‍सप्रेस की सीटें हो गई फुल पीएम के गृहराज्‍य से संसदीय क्षेत्र को जोड़ेगी ट्रेन,वाराणसी जेएनएन प्रधानमंत्री नरेंद्र मोदी संसदीय क्षेत्र गृहराज्य जोड़ने वाली काशी केवड़िया सुपरफास्ट महामना सीटें बुकिंग फुुल ट्रेन उद्घाटन फेरे द्वितीय श्रेणी छोड़कर प्रथम श्रेणी शयनयान तृतीय श्रेणी बर्थ शनिवार सुबह बजे फुल कोरोना काल पहली नई ट्रेन दिनों चर्चा जनवरी सुबह बजे प्रधानमंत्री नरेन्द्र मोदी वर्चुअल उद्घाटन कैंट स्टेशन स्थित प्लेटफार्म नंबर प्रस्तावित संक्षिप्त समारोह दौरान ट्रेन छिवकी प्रयागराज सतना जबलपुर भुसावल सूरत रास्ते अगले दिन दोपहर बजे केवड़िया पहुचेगी उद्घाटन समारोह तैयारी मद्देनजर डीआरएम संजय त्रिपाठी सहित लखनऊ मण्डल ब्रांच अफसरों कैंट स्टेशन निरीक्षण पढें जनवरी प्रधानमंत्री नरेंद्र मोदी काशीवासियों देंगे नए ट्रेन सौगात,2021-01-16
वाराणसी में सिंधिया घाट का रत्नेश्वर महादेव मंदिर जिसे पीएम नरेंद्र मोदी भी मानते हैं विशेष आकर्षण,वाराणसी जेएनएन सिंधिया घाट बड़ा आकर्षण रत्नेश्वर महादेव मंदिर दोषपूर्ण निर्माण कारण भले पूजाअर्चना शिल्प बनावट दृष्टि सैलानियों आकर्षण बड़ा केंद्र वर्ष पूर्व आकाशीय बिजली गिरने क्षति साल छह माह पानी डूबा रहता खासकर बारिश तीन माह सिर्फ शिखर नजर आता मंदिर पीसा मशहूर मीनार अधिक कोण लगभग डिग्री झुका माना प्रधानमंत्री नरेंद्र मोदी शुक्रवार ट्विटर मिली चुनौती केवल स्वीकार बल्कि सही जबाव देकर सब चकित पीएम ट्वीट खूब वायरल ट्विटर दुनिया मशहूर नेताओं मोदी प्लेटफार्म करोड़ फालोअर हैंं दिन एकदो ट्वीट प्रतिक्रिया हैैं शुक्रवार लॉस्ट टेंपल अकाउंट फोटो पोस्ट फोटो घाट मंदिर गंगा आरती दृश्य दिख मार्क ट्वेन भारत बारे व्यक्त किए मशहूर उद्गार लिखा ट्वेन भारत कभी इतिहास पुराना परंपराओं पुराना किंवदंतियों पुराना सबको रखकर दोगुने पुराना भारत पूछा क्या पहचान हैैं प्रधानमंत्री जवाब अवश्य पहचान हूं साल मैंने फोटो शेयर काशी गौरवशाली रत्नेश्वर महादेव मंदिर प्रधानमंत्री नवंबर ट्वीट शेयर देव दीपावली काशी घाट जगमगाता नजर पढें पोस् टर बना रत् नेश् वर महादेव मंदिर पीसा झुकी मीनार तुलना,2021-01-16
